@relation wine-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P30.0-V

@attribute 'fixed acidity' numeric
@attribute 'volatile acidity' numeric
@attribute 'citric acid' numeric
@attribute 'residual sugar' numeric
@attribute chlorides numeric
@attribute 'free sulfur dioxide' numeric
@attribute 'total sulfur dioxide' numeric
@attribute density numeric
@attribute pH numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute quality numeric

@data
7.3,0.23,0.37,1.8,0.032,60,156,0.992,3.11,0.35,11.1,6
7.8,0.26,0.49,3.2,0.027,28,87,0.9919,3.03,0.32,11.3,7
7,0.24,0.3,6.7,0.039,37,125,0.99436,3.2,0.39,9.9,5
5.5,0.15,0.32,14,0.031,16,99,0.99437,3.26,0.38,11.5,8
6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,7
3.9,0.225,0.4,4.2,0.03,29,118,0.989,3.57,0.36,12.8,8
6.7,0.47,0.29,4.75,0.034,29,134,0.99056,3.29,0.46,13,7
5.9,0.22,0.29,4.2,0.037,69,144,0.99214,3.13,0.74,10.8,7
7.4,0.44,0.2,11.5,0.049,44,157,0.998,3.27,0.44,9,5
6.6,0.24,0.3,11.3,0.026,11,77,0.99381,3.13,0.55,12.8,7
6.7,0.16,0.49,2.4,0.046,57,187,0.9952,3.62,0.81,10.4,6
8.5,0.16,0.33,1,0.076,17,57,0.9921,3.14,0.46,10.6,6
7.5,0.42,0.45,9.1,0.029,20,125,0.996,3.12,0.36,10.1,6
6.5,0.28,0.27,5.2,0.04,44,179,0.9948,3.19,0.69,9.4,6
5.7,0.2,0.3,2.5,0.046,38,125,0.99276,3.34,0.5,9.9,6
6.5,0.28,0.25,4.8,0.029,54,128,0.99074,3.17,0.44,12.2,7
6.9,0.3,0.45,1.4,0.039,36,122,0.99059,3.07,0.47,11.1,7
6.8,0.2,0.36,1.6,0.028,7,46,0.99175,3.21,0.6,10.9,6
6.1,0.41,0,1.6,0.063,36,87,0.9914,3.27,0.67,10.8,6
6.8,0.25,0.34,4.7,0.031,34,134,0.9927,3.21,0.38,10.6,6
6.2,0.47,0.21,1,0.044,13,98,0.99345,3.14,0.46,9.2,5
8.1,0.28,0.4,6.9,0.05,30,97,0.9951,3.26,0.44,10.1,6
6.3,0.26,0.24,7.2,0.039,38,172,0.9958,3.49,0.64,9.7,6
5.6,0.34,0.25,2.5,0.046,47,182,0.99093,3.21,0.4,11.3,5
6.8,0.26,0.24,1.9,0.043,70,154,0.99273,3.18,0.52,10.5,5
6.8,0.3,0.24,6.6,0.123,35,116,0.9953,3.07,0.48,9.4,5
6.9,0.24,0.34,4.7,0.04,43,161,0.9935,3.2,0.59,10.6,6
7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,5
6.8,0.23,0.42,7.4,0.044,56,189,0.9958,3.22,0.48,9.3,6
6.3,0.25,0.22,3.3,0.048,41,161,0.99256,3.16,0.5,10.5,6
6.6,0.24,0.38,12.75,0.034,8,74,0.99386,3.1,0.57,12.9,6
5.8,0.15,0.28,0.8,0.037,43,127,0.99198,3.24,0.51,9.3,5
7.5,0.32,0.49,1.7,0.031,44,109,0.9906,3.07,0.46,12.5,6
7.1,0.24,0.34,1.2,0.045,6,132,0.99132,3.16,0.46,11.2,4
6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,7
6.7,0.24,0.41,2.9,0.039,48,122,0.99052,3.25,0.43,12,5
7.4,0.35,0.24,6,0.042,28,123,0.99304,3.14,0.44,11.3,5
8.3,0.2,0.49,1.7,0.038,38,167,0.9939,3.05,0.37,10.1,6
6.6,0.41,0.31,1.6,0.042,18,101,0.99195,3.13,0.41,10.5,5
6.9,0.31,0.34,7.4,0.059,36,174,0.9963,3.46,0.62,11.1,7
7.4,0.38,0.34,8.3,0.052,44,168,0.99627,3.11,0.52,9.2,5
6.2,0.44,0.18,7.7,0.096,28,210,0.99771,3.56,0.72,9.2,5
8.5,0.25,0.31,2.8,0.032,11,61,0.99189,3.06,0.44,11.5,6
7.6,0.15,0.35,4.3,0.051,23,98,0.99422,3.1,0.44,9.5,6
7,0.25,0.56,2,0.035,20,95,0.9918,3.23,0.53,11,6
6.4,0.32,0.27,4.9,0.034,18,122,0.9916,3.36,0.71,12.5,6
5,0.2,0.4,1.9,0.015,20,98,0.9897,3.37,0.55,12.05,6
6.2,0.22,0.28,2.2,0.04,24,125,0.9917,3.19,0.48,10.5,6
7.7,0.34,0.28,11,0.04,31,117,0.99815,3.27,0.29,9.2,6
6.3,0.37,0.28,6.3,0.034,45,152,0.9921,3.29,0.46,11.6,7
7.1,0.26,0.19,8.2,0.051,53,187,0.996,3.16,0.52,9.7,5
7.3,0.4,0.24,6.7,0.058,41,166,0.995,3.2,0.41,9.9,6
7.9,0.2,0.49,1.6,0.053,15,144,0.993,3.16,0.47,10.5,5
6.7,0.54,0.27,7.1,0.049,8,178,0.99502,3.16,0.38,9.4,4
8.6,0.2,0.42,1.5,0.041,35,125,0.9925,3.11,0.49,11.4,7
6.4,0.29,0.3,2.9,0.036,25,79,0.99037,3.29,0.6,12.4,7
7.1,0.13,0.29,15.5,0.064,56,115.5,0.99737,3.16,0.41,9.7,7
7.3,0.26,0.49,5,0.028,32,107,0.9936,3.24,0.54,10.8,6
6.6,0.425,0.25,2.35,0.034,23,87,0.99082,3.05,0.41,11.4,6
8.7,0.23,0.32,13.4,0.044,35,169,0.99975,3.12,0.47,8.8,7
6.3,0.3,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,6
6,0.38,0.26,3.5,0.035,38,111,0.98872,3.18,0.47,13.6,7
7.3,0.19,0.49,15.55,0.058,50,134,0.9998,3.42,0.36,9.1,7
6.1,0.36,0.26,8.15,0.035,14,88,0.99031,3.06,0.27,13,7
5.3,0.33,0.3,1.2,0.048,25,119,0.99045,3.32,0.62,11.3,6
7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9,8
6,0.27,0.19,1.7,0.02,24,110,0.9898,3.32,0.47,12.6,7
7.2,0.2,0.38,1,0.037,21,74,0.9918,3.21,0.37,11,5
6.7,0.39,0.31,2.7,0.054,27,202,0.9948,3.46,0.57,10.5,6
6.7,0.43,0.23,5,0.157,49,145,0.99471,3.17,0.49,9.4,5
6.9,0.18,0.36,1.3,0.036,40,117,0.9934,3.27,0.95,9.5,7
5.5,0.14,0.27,4.6,0.029,22,104,0.9949,3.34,0.44,9,5
6.9,0.32,0.27,16,0.034,58,185,0.99938,3.34,0.6,9,6
6.8,0.475,0.33,3.95,0.047,16,81,0.98988,3.23,0.53,13.4,7
7.2,0.26,0.44,7.1,0.027,25,126,0.993,3.02,0.34,11.1,8
6.1,0.24,0.3,1.5,0.045,22,61,0.992,3.31,0.54,10.4,5
5,0.44,0.04,18.6,0.039,38,128,0.9985,3.37,0.57,10.2,6
7.2,0.19,0.31,6.3,0.034,17,103,0.99305,3.15,0.52,11.4,7
8,0.3,0.36,11,0.034,8,70,0.99354,3.05,0.41,12.2,6
6.3,0.25,0.23,14.9,0.039,47,142,0.99705,3.14,0.35,9.7,6
5.1,0.33,0.27,6.7,0.022,44,129,0.99221,3.36,0.39,11,7
7,0.32,0.31,6.4,0.031,38,115,0.99235,3.38,0.58,12.2,7
7,0.44,0.24,12.1,0.056,68,210,0.99718,3.05,0.5,9.5,5
7.3,0.34,0.22,1.4,0.044,43,176,0.99286,3.14,0.46,9.9,5
6.8,0.46,0.26,6.3,0.147,49,159,0.99434,3.14,0.47,10,5
7.3,0.24,0.3,2.5,0.042,31,104,0.9911,3.05,0.56,11.3,7
7.7,0.28,0.39,8.9,0.036,8,117,0.9935,3.06,0.38,12,7
6,0.24,0.34,1,0.036,52,184,0.99097,3.44,0.44,11.45,6
8.5,0.56,0.74,17.85,0.051,51,243,1.0005,2.99,0.7,9.2,5
7.4,0.38,0.27,7.5,0.041,24,160,0.99535,3.17,0.43,10,5
7,0.29,0.49,3.8,0.047,37,136,0.9938,2.95,0.4,9.4,6
7,0.34,0.39,6.9,0.066,43,162,0.99561,3.11,0.53,9.5,5
7.6,0.15,0.4,1.3,0.036,24,112,0.9932,3.14,0.76,10,5
6,0.27,0.4,1.7,0.021,18,82,0.9891,3.24,0.95,13.133333,6
6.4,0.25,0.74,7.8,0.045,52,209,0.9956,3.21,0.42,9.2,6
5.7,0.135,0.3,4.6,0.042,19,101,0.9946,3.31,0.42,9.3,6
9.7,0.24,0.49,4.9,0.032,3,18,0.99368,2.85,0.54,10,6
7.3,0.25,0.26,7.2,0.048,52,207,0.99587,3.12,0.37,9.2,5
7.8,0.25,0.34,13.7,0.044,66,184,0.99976,3.22,0.75,8.9,5
6.8,0.27,0.12,1.3,0.04,87,168,0.992,3.18,0.41,10,5
8,0.33,0.32,4.6,0.041,31,180,0.99184,2.92,0.74,12.2,6
6.2,0.24,0.27,2.9,0.039,30,123,0.98959,3.12,0.37,12.8,6
7.6,0.48,0.33,7,0.024,14,130,0.9918,3.25,0.45,12.5,7
7.1,0.33,0.25,1.6,0.03,25,126,0.9901,3.22,0.34,12.1,7
4.8,0.21,0.21,10.2,0.037,17,112,0.99324,3.66,0.48,12.2,7
6.4,0.38,0.24,7.2,0.047,41,151,0.99604,3.11,0.6,9.2,5
9.2,0.28,0.46,3.2,0.058,39,133,0.996,3.14,0.58,9.5,5
6.2,0.36,0.32,4,0.036,44,92,0.98936,3.2,0.5,13.3,7
5.8,0.22,0.29,1.3,0.036,25,68,0.98865,3.24,0.35,12.6,6
7.5,0.18,0.72,9.6,0.039,53,151,0.99802,3.03,0.46,8.9,5
5.9,0.34,0.31,2,0.03,38,142,0.98892,3.4,0.41,12.9,7
7.9,0.16,0.3,4.8,0.037,37,171,0.9967,3.47,0.44,9,4
7.2,0.27,0.46,18.75,0.052,45,255,1,3.04,0.52,8.9,5
5.7,0.26,0.24,17.8,0.059,23,124,0.99773,3.3,0.5,10.1,5
6.6,0.29,0.31,3.9,0.027,39,96,0.99035,3.24,0.6,12.6,8
6.5,0.43,0.31,3.6,0.046,19,143,0.99022,3.15,0.34,12,8
6.1,0.24,0.26,1.7,0.033,61,134,0.9903,3.19,0.81,11.9,7
6.4,0.31,0.28,1.5,0.037,12,119,0.9919,3.32,0.51,10.4,7
5.7,0.44,0.13,7,0.025,28,173,0.9913,3.33,0.48,12.5,6
7.7,0.35,0.49,8.65,0.033,42,186,0.9931,3.14,0.38,12.4,8
9,0.245,0.38,5.9,0.045,52,159,0.995,2.93,0.35,10.2,6
6.6,0.17,0.28,1.1,0.034,55,108,0.98939,3,0.52,11.9,7
7,0.22,0.33,2.1,0.052,15,76,0.993,3.2,0.41,10.6,6
4.7,0.335,0.14,1.3,0.036,69,168,0.99212,3.47,0.46,10.5,5
7.4,0.64,0.47,14.15,0.168,42,185,0.9984,2.9,0.49,9.3,5
6,0.17,0.3,7.3,0.039,39,104,0.99252,2.91,0.57,11,6
9.6,0.29,0.46,1.45,0.039,77.5,223,0.9944,2.92,0.46,9.5,6
6.4,0.44,0.26,2,0.054,20,180,0.9952,3.58,0.57,10,5
7,0.34,0.1,3.5,0.044,17,63,0.9937,3.01,0.39,9.2,5
7.9,0.28,0.41,4.9,0.058,31,153,0.9966,3.27,0.51,9.7,6
6,0.27,0.3,14.7,0.044,15,144,0.99666,3.12,0.53,10.3,6
7.9,0.25,0.29,5.3,0.031,33,117,0.9918,3.06,0.32,11.8,7
6.8,0.24,0.29,9.5,0.042,56,157,0.99586,3.11,0.51,10.1,6
8.2,0.29,0.33,9.1,0.036,28,118,0.9953,2.96,0.4,10.9,7
6.2,0.32,0.16,7,0.045,30,136,0.9949,3.18,0.47,9.6,6
7.7,0.49,1,19.6,0.03,28,135,0.9973,3.24,0.4,12,6
4.9,0.47,0.17,1.9,0.035,60,148,0.98964,3.27,0.35,11.5,6
8,0.26,0.28,8.2,0.038,72,202,0.99566,3.12,0.56,10,6
7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,8
7.4,0.28,0.49,1.5,0.034,20,126,0.9918,2.98,0.39,10.6,6
7,0.34,0.1,3.5,0.044,17,63,0.9937,3.01,0.39,9.2,5
7.3,0.51,0.29,11.3,0.034,61,224,0.99683,3.14,0.56,9.5,6
5.8,0.24,0.44,3.5,0.029,5,109,0.9913,3.53,0.43,11.7,3
7.2,0.21,0.35,14.5,0.048,35,178,0.9982,3.05,0.47,8.9,6
6.9,0.14,0.29,9.9,0.056,30,91,0.99512,3.19,0.33,9.9,6
8.2,0.36,0.29,7.6,0.035,37,122,0.9939,3.16,0.34,12,5
6.2,0.45,0.73,7.2,0.099,47,202,0.99582,3.21,0.43,9.2,5
7.7,0.31,0.36,4.3,0.026,15,87,0.99152,3.11,0.48,12,5
6.3,0.24,0.37,1.8,0.031,6,61,0.9897,3.3,0.34,12.2,4
6.9,0.38,0.25,9.8,0.04,28,191,0.9971,3.28,0.61,9.2,5
5.8,0.26,0.24,9.2,0.044,55,152,0.9961,3.31,0.38,9.4,5
6.5,0.24,0.38,1,0.027,31,90,0.98926,3.24,0.36,12.3,6
8.1,0.28,0.39,1.9,0.029,18,79,0.9923,3.23,0.52,11.8,6
7,0.29,0.26,1.6,0.044,12,87,0.9923,3.08,0.46,10.5,6
7.2,0.23,0.32,8.5,0.058,47,186,0.9956,3.19,0.4,9.9,6
7.1,0.27,0.24,12.6,0.044,48,118,0.99726,3.04,0.56,10,7
7,0.34,0.26,10.3,0.041,51,166,0.99382,3.08,0.35,11.6,6
6.5,0.43,0.18,13.15,0.032,25,131,0.99565,3.23,0.51,10.7,5
7.5,0.16,0.38,12.7,0.043,70.5,163,0.99706,3.15,0.82,10.4,7
6.9,0.17,0.25,1.6,0.047,34,132,0.9914,3.16,0.48,11.4,5
6.7,0.35,0.48,8.8,0.056,35,167,0.99628,3.04,0.47,9.4,5
6.1,0.17,0.42,15.1,0.033,28,124,0.99684,2.87,0.47,9.5,5
6.4,0.16,0.32,8.75,0.038,38,118,0.99449,3.19,0.41,10.7,5
6.6,0.29,0.29,1.8,0.036,38,102,0.98819,3.08,0.42,13.7,7
6.1,0.46,0.32,6.2,0.053,10,94,0.99537,3.35,0.47,10.1,5
7.3,0.15,0.4,2,0.05,24,92,0.9932,3.14,0.45,10.5,5
7.1,0.13,0.38,1.8,0.046,14,114,0.9925,3.32,0.9,11.7,6
6.4,0.15,0.4,1.3,0.053,61,146,0.99112,3.17,0.68,11,6
5.8,0.275,0.3,5.4,0.043,41,149,0.9926,3.33,0.42,10.8,7
6.8,0.22,0.37,1.7,0.036,38,195,0.9908,3.35,0.72,12.5,6
6.1,0.17,0.27,1.5,0.056,45,135,0.9924,3.2,0.43,10.2,6
7.3,0.49,0.32,5.2,0.043,18,104,0.9952,3.24,0.45,10.7,4
7,0.2,0.74,0.8,0.044,19,163,0.9931,3.46,0.53,10.2,5
6.1,0.27,0.25,1.8,0.041,9,109,0.9929,3.08,0.54,9,5
6.7,0.27,0.69,1.2,0.176,36,106,0.99288,2.96,0.43,9.2,6
7.1,0.4,0.52,1.3,0.148,45,149,0.99468,3.08,0.56,8.7,5
7.9,0.51,0.36,6.2,0.051,30,173,0.9984,3.09,0.53,9.7,5
7.2,0.47,0.16,5.9,0.048,14,125,0.99428,3.09,0.49,9.8,5
5.7,0.26,0.25,10.4,0.02,7,57,0.994,3.39,0.37,10.6,5
6.1,0.27,0.32,1.1,0.034,24,110,0.9898,3.36,0.4,12.5,6
7.1,0.21,0.72,1.6,0.167,65,120,0.99324,2.97,0.51,9.2,5
9.8,0.42,0.48,9.85,0.034,5,110,0.9958,2.87,0.29,10,5
8,0.24,0.36,1.5,0.047,17,129,0.9948,3.2,0.54,10,6
5.6,0.18,0.27,1.7,0.03,31,103,0.98892,3.35,0.37,12.9,6
7,0.35,0.31,1.8,0.069,15,162,0.9944,3.18,0.47,9.4,5
6.7,0.26,0.39,1.1,0.04,45,147,0.9935,3.32,0.58,9.6,8
8.6,0.34,0.36,1.4,0.045,11,119,0.99556,3.17,0.47,9.4,4
7.2,0.4,0.62,10.8,0.041,70,189,0.9976,3.08,0.49,8.6,4
6.1,0.25,0.3,1.2,0.036,42,107,0.991,3.34,0.56,10.8,7
8.2,0.22,0.49,9.6,0.037,53,154,0.9951,3.02,0.33,10.6,6
6.9,0.31,0.33,12.7,0.038,33,116,0.9954,3.04,0.65,10.4,6
6.8,0.11,0.27,8.6,0.044,45,104,0.99454,3.2,0.37,9.9,6
7.6,0.28,0.17,1.6,0.046,28,117,0.99288,3.08,0.43,10,5
7.1,0.44,0.27,8.4,0.057,60,160,0.99257,3.16,0.36,11.8,6
6.7,0.31,0.3,2.4,0.038,30,83,0.98867,3.09,0.36,12.8,7
5.2,0.36,0.02,1.6,0.031,24,104,0.9896,3.44,0.35,12.2,6
5.7,0.32,0.5,2.6,0.049,17,155,0.9927,3.22,0.64,10,6
7.1,0.53,0.24,0.8,0.029,29,86,0.993,3.16,0.32,9.1,4
7.6,0.17,0.36,4.5,0.042,26,102,0.99427,3.09,0.47,9.5,5
8,0.27,0.57,10.4,0.053,18,134,0.99732,3.12,0.68,9,5
6.3,0.34,0.52,6.3,0.047,63,186,0.99481,3.18,0.44,9.6,5
5.2,0.155,0.33,1.6,0.028,13,59,0.98975,3.3,0.84,11.9,8
6.2,0.1,0.41,1,0.04,17,76,0.98988,3.14,0.56,11.4,7
7.1,0.44,0.27,8.4,0.057,60,160,0.99257,3.16,0.36,11.8,6
8,0.25,0.27,9.7,0.036,15,85,0.99406,2.99,0.36,11.2,6
6.2,0.36,0.45,10.4,0.06,22,184,0.99711,3.31,0.56,9.8,6
6.2,0.3,0.32,1.2,0.052,32,185,0.99266,3.28,0.44,10.1,5
6.6,0.23,0.24,3.9,0.045,36,138,0.9922,3.15,0.64,11.3,7
6,0.28,0.24,17.8,0.047,42,111,0.99896,3.1,0.45,8.9,6
6.7,0.26,0.51,8,0.062,50,194,0.99545,3.13,0.5,9.6,5
6,0.33,0.27,0.8,0.185,12,188,0.9924,3.12,0.62,9.4,5
6.8,0.16,0.36,1.3,0.034,32,98,0.99058,3.02,0.58,11.3,6
7.3,0.29,0.29,4.6,0.029,27,155,0.9931,3.07,0.26,10.6,6
6,0.22,0.23,5,0.045,10,122,0.99261,2.94,0.63,10,6
6.1,0.41,0.14,10.4,0.037,18,119,0.996,3.38,0.45,10,5
6.6,0.24,0.24,8.6,0.034,25,135,0.99582,3.33,0.59,10.3,6
6.8,0.18,0.28,9.8,0.039,29,113,0.99406,3.11,0.45,10.9,7
7.2,0.25,0.28,14.4,0.055,55,205,0.9986,3.12,0.38,9,7
5,0.27,0.4,1.2,0.076,42,124,0.99204,3.32,0.47,10.1,6
6.7,0.24,0.37,11.3,0.043,64,173,0.99632,3.08,0.53,9.9,6
7,0.2,0.34,2.1,0.049,12,136,0.9922,3.25,0.46,11.6,7
7,0.17,0.42,1,0.075,19,71,0.99103,3.32,0.62,11.4,6
6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8,5
6.5,0.29,0.42,10.6,0.042,66,202,0.99674,3.24,0.53,9.5,6
6.5,0.25,0.2,1.4,0.024,29,101,0.9916,3.24,0.54,10.8,6
6.8,0.16,0.18,1.8,0.046,31,114,0.99226,3.27,0.55,10.8,6
8.9,0.3,0.35,4.6,0.032,32,148,0.99458,3.15,0.45,11.5,7
7,0.21,0.28,7.5,0.07,45,185,0.9966,3.34,0.55,9.4,5
6.8,0.12,0.3,12.9,0.049,32,88,0.99654,3.2,0.35,9.9,6
7.2,0.37,0.15,2,0.029,27,87,0.9903,3.3,0.59,12.6,7
6.1,0.28,0.27,4.7,0.03,56,140,0.99042,3.16,0.42,12.5,8
7.6,0.22,0.34,9.7,0.035,26,143,0.9965,3.08,0.49,9.8,6
7.2,0.29,0.4,13.6,0.045,66,231,0.9977,3.08,0.59,9.6,6
6,0.26,0.32,3.8,0.029,48,180,0.99011,3.15,0.34,12,6
6.1,0.31,0.26,2.2,0.051,28,167,0.9926,3.37,0.47,10.4,6
7,0.16,0.3,2.6,0.043,34,90,0.99047,2.88,0.47,11.2,6
8.5,0.17,0.31,1,0.024,13,91,0.993,2.79,0.37,10.1,5
8.3,0.19,0.49,1.2,0.051,11,137,0.9918,3.06,0.46,11,6
6.6,0.18,0.26,17.3,0.051,17,149,0.9984,3,0.43,9.4,6
6.8,0.32,0.34,6,0.05,5,129,0.9953,3.19,0.4,9.1,5
8,0.32,0.26,1.2,0.05,11.5,88,0.9946,3.24,0.37,9.5,4
7.3,0.26,0.53,12.7,0.047,60.5,156,0.9984,3.06,0.45,9.1,6
6.9,0.33,0.31,4.2,0.04,21,93,0.9896,3.18,0.48,13.4,7
7.3,0.25,0.39,6.4,0.034,8,84,0.9942,3.18,0.46,11.5,5
6.6,0.17,0.28,1.8,0.042,62,178,0.99204,3.15,0.42,10.2,5
5.5,0.34,0.26,2.2,0.021,31,119,0.98919,3.55,0.49,13,8
7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,7
6.1,0.28,0.25,17.75,0.044,48,161,0.9993,3.34,0.48,9.5,5
7.5,0.42,0.14,10.7,0.046,18,95,0.9959,3.22,0.33,10.7,5
6.1,0.34,0.46,4.7,0.029,21,94,0.991,3.29,0.62,12.3,6
6.5,0.28,0.34,3.6,0.04,29,121,0.99111,3.28,0.48,12.1,7
7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,7
6,0.25,0.28,2.2,0.026,54,126,0.9898,3.43,0.65,12.9,8
7.4,0.37,0.35,5.7,0.061,12,94,0.9965,3.48,0.69,10.7,6
6.2,0.21,0.38,6.8,0.036,64,245,0.9951,3.06,0.36,9.3,6
7.1,0.18,0.74,15.6,0.044,44,176,0.9996,3.38,0.67,9,6
6.2,0.34,0.3,11.1,0.047,28,237,0.9981,3.18,0.49,8.7,5
6.1,0.44,0.28,4.25,0.032,43,132,0.9916,3.26,0.47,11.266667,7
6.5,0.4,0.31,3.5,0.046,22,147,0.99024,3.15,0.31,12,7
6.6,0.22,0.58,1.1,0.133,52,136,0.9932,3.1,0.3,9.1,5
8.1,0.19,0.4,0.9,0.037,73,180,0.9926,3.06,0.34,10,6
7.3,0.21,0.49,1.8,0.038,44,152,0.9912,3.32,0.44,12.6,7
8.3,0.16,0.37,7.9,0.025,38,107,0.99306,2.93,0.37,11.9,6
6.9,0.52,0.54,7.9,0.036,23,169,0.99267,3.26,0.47,12.2,6
6.7,0.3,0.45,10.6,0.032,56,212,0.997,3.22,0.59,9.5,6
7.3,0.34,0.21,3.2,0.05,14,136,0.9936,3.25,0.44,10.2,5
8,0.14,0.49,1.5,0.035,42,120,0.9928,3.26,0.4,10.6,7
8,0.36,0.39,1.6,0.024,26,93,0.99116,3.15,0.49,11.9,6
6.6,0.14,0.44,1.6,0.042,47,140,0.993,3.32,0.51,10.2,6
7.1,0.44,0.62,11.8,0.044,52,152,0.9975,3.12,0.46,8.7,6
6.6,0.24,0.27,1.4,0.057,33,152,0.9934,3.22,0.56,9.5,6
6,0.17,0.21,6,0.05,26,134,0.9939,3.08,0.54,9.8,6
6.2,0.39,0.24,4.8,0.037,45,138,0.99174,3.23,0.43,11.2,7
6.8,0.21,0.55,14.6,0.053,34,159,0.99805,2.93,0.44,9.2,5
6.5,0.3,0.27,4,0.038,37,97,0.99026,3.2,0.6,12.6,8
7.3,0.205,0.31,1.7,0.06,34,110,0.9963,3.72,0.69,10.5,6
8.1,0.2,0.4,2,0.037,19,87,0.9921,3.12,0.54,11.2,6
6.4,0.16,0.31,5.3,0.043,42,157,0.99455,3.35,0.47,10.5,5
6.7,0.39,0.24,2.7,0.017,22,80,0.99084,3.03,0.37,11.5,5
5.7,0.25,0.21,1.5,0.044,21,108,0.99142,3.3,0.59,11,6
8.6,0.18,0.4,1.1,0.04,20,107,0.9923,2.94,0.32,10.2,7
6.4,0.28,0.36,1.3,0.053,28,186,0.99211,3.31,0.45,10.8,5
8,0.25,0.49,9,0.044,31,185,0.998,3.34,0.49,10,6
7.4,0.21,0.3,8.1,0.047,13,114,0.9941,3.12,0.35,10.5,6
6.8,0.39,0.34,7.4,0.02,38,133,0.99212,3.18,0.44,12,7
6.9,0.19,0.33,1.6,0.043,63,149,0.9925,3.44,0.52,10.8,5
6.4,0.18,0.74,11.9,0.046,54,168,0.9978,3.58,0.68,10.1,5
7.2,0.34,0.3,8.4,0.051,40,167,0.99756,3.48,0.62,9.7,5
6.1,0.32,0.28,6.6,0.021,29,132,0.99188,3.15,0.36,11.45,7
6.3,0.19,0.29,5.5,0.042,44,189,0.99304,3.19,0.47,10.3,6
6.9,0.46,0.2,0.9,0.054,5,126,0.992,3.1,0.42,10.4,6
5.4,0.24,0.18,2.3,0.05,22,145,0.99207,3.24,0.46,10.3,5
7.1,0.36,0.37,4.8,0.019,39,114,0.99036,3.08,0.49,12.7,7
7.6,0.26,0.58,7.9,0.041,62,180,0.9966,3.07,0.38,9,5
6.7,0.31,0.32,14.5,0.038,6,79,0.99412,3.14,0.34,12.5,5
6.8,0.29,0.22,3.4,0.035,40,122,0.99024,3.09,0.47,12.3,6
6.7,0.21,0.48,14.8,0.05,31,195,0.99942,2.95,0.75,8.8,6
5.3,0.26,0.23,5.15,0.034,48,160,0.9952,3.82,0.51,10.5,7
6.8,0.34,0.36,8.9,0.029,44,128,0.99318,3.28,0.35,11.95,7
7.4,0.45,0.32,7.1,0.044,17,117,0.9962,3.32,0.41,10.4,4
7,0.46,0.2,16.7,0.046,50,184,0.99898,3.08,0.56,9.4,5
7.9,0.17,0.32,1.6,0.053,47,150,0.9948,3.29,0.76,9.6,6
5.2,0.21,0.31,1.7,0.048,17,61,0.98953,3.24,0.37,12,7
5.9,0.24,0.28,1.3,0.032,36,95,0.98889,3.08,0.64,12.9,7
8.5,0.3,0.28,3.1,0.054,54,174,0.99543,3.21,0.43,9.4,6
5.6,0.24,0.34,2,0.041,14,73,0.98981,3.04,0.45,11.6,7
5.8,0.13,0.22,12.7,0.058,24,183,0.9956,3.32,0.42,11.7,6
7.8,0.2,0.32,5,0.016,31,101,0.99186,2.99,0.39,11,6
8.9,0.32,0.49,1.6,0.05,17,131,0.9956,3.13,0.34,9.4,5
7,0.21,0.28,8.6,0.045,37,221,0.9954,3.25,0.54,10.4,6
5.2,0.405,0.15,1.45,0.038,10,44,0.99125,3.52,0.4,11.6,4
6.3,0.27,0.25,5.8,0.038,52,155,0.995,3.28,0.38,9.4,6
7.8,0.21,0.39,1.8,0.034,62,180,0.991,3.09,0.75,12.6,8
8,0.18,0.49,1.8,0.061,10,145,0.9942,3.23,0.48,10,5
6.5,0.15,0.55,5.9,0.045,75,162,0.99482,2.97,0.4,9.3,5
5.8,0.3,0.38,4.9,0.039,22,86,0.98963,3.23,0.58,13.1,7
7.1,0.25,0.49,3,0.03,30,96,0.9903,3.13,0.39,12.3,7
6.9,0.25,0.47,8.4,0.042,36,156,0.99604,3.15,0.55,9.4,6
7.1,0.18,0.32,12.2,0.048,36,125,0.9967,2.92,0.54,9.4,6
6,0.24,0.41,1.3,0.036,42,118,0.99018,3.04,0.64,11.75,6
9,0.55,0.3,8.1,0.026,14,71,0.993,2.94,0.36,11.8,5
5.8,0.3,0.33,3.5,0.033,25,116,0.99057,3.2,0.44,11.7,6
6.2,0.32,0.45,2.9,0.029,37,94,0.98998,3.25,0.6,12.4,6
5.8,0.27,0.27,12.3,0.045,55,170,0.9972,3.28,0.42,9.3,6
6.8,0.26,0.46,8.3,0.037,49,173,0.99601,3.17,0.47,9.3,5
7.9,0.14,0.28,1.8,0.041,44,178,0.9954,3.45,0.43,9.2,6
6,0.32,0.12,5.9,0.041,34,190,0.9944,3.16,0.72,10,5
